,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
272,pytorch_scatter,4,0,1,0,2
273,pytorch-toolbelt,8,0,3,0,3
274,pytorch-ts,11,3,5,1,9
275,pytorch_wavelets,28,1,11,0,49
276,PytorchWaveNetVocoder,13,0,3,0,12
277,pytorch-widedeep,82,0,34,0,108
278,qiskit-aqua,44,0,10,0,20
279,qkeras,27,0,10,0,490
280,QPyTorch,10,0,2,0,3
281,quantum,22,0,5,0,943
282,RacingRobot,13,0,3,0,9
284,redner,5,0,2,0,3
285,reformer-pytorch,13,0,4,0,5
286,returnn,19,0,6,0,489
287,rising,35,0,11,0,84
288,rl-agents,13,1,5,0,12
289,rl_algorithms,32,0,12,0,52
290,rlcard,6,0,3,0,7
291,rlpyt,10,0,4,0,48
292,RLzoo,9,0,4,0,507
293,RMDL,17,1,15,1,987
294,rust-bert,3,0,2,0,3
295,sample-apps,52,0,31,0,1049
296,sciencebeam,24,0,7,0,477
297,scikit-lego,28,0,5,0,13
298,selene,15,0,8,0,24
299,sentence-transformers,21,2,16,0,44
300,serving,4,0,3,0,966
301,SfmLearner-Pytorch,12,0,4,0,4
302,sigopt-examples,116,0,44,0,1031
303,skorch,47,0,19,0,105
304,smote_variants,39,0,21,0,1010
306,snn_toolbox,14,0,5,0,539
307,snorkel,37,1,15,0,31
308,solt,23,0,8,0,18
309,sonnet,30,0,9,0,1428
311,SPFlow,22,0,7,0,72
312,sru,10,0,4,0,11
313,stable-baselines3,30,0,7,0,100
314,stanza,11,0,6,0,21
315,stellargraph,41,0,12,0,53
316,strawberryfields,73,0,27,0,1483
317,studio,59,0,22,0,1668
318,submarine,58,4,26,2,999
319,surreal,51,5,9,1,1449
320,tcav,13,0,11,0,543
321,tensor2robot,10,0,3,0,520
322,tensorflow-onnx,13,0,5,0,16
323,TensorFlowOnSpark,8,0,5,0,502
324,tensorflow-yolov4-tflite,16,0,10,0,1119
325,tensorforce,53,0,11,0,1487
326,tensorlayer,73,0,26,0,1998
327,TensorNetwork,12,0,6,0,950
328,tensorpack,28,0,11,0,509
329,text,26,0,11,0,34
330,TextAttack,136,0,32,0,1627
331,TextRecognitionDataGenerator,26,1,11,1,663
332,text-to-text-transfer-transformer,26,0,10,0,25
333,tf2-gnn,5,0,2,0,479
334,tf2rl,14,0,9,0,995
335,tf-encrypted,24,0,6,0,1416
336,tfjs,179,0,30,0,2876
337,tf-quant-finance,21,0,6,0,13
338,tianshou,48,0,16,0,132
339,torchani,21,0,7,0,121
340,torchgan,8,0,5,0,66
341,torchgpipe,18,0,16,0,17
342,torchsat,16,0,8,0,96
343,torchxrayvision,12,0,7,0,59
344,tpot,32,1,14,0,28
345,tract,14,0,6,0,19
346,trains,264,0,121,0,4347
347,TrainYourOwnYOLO,10,0,6,0,575
348,transfer-nlp,14,1,5,0,14
349,TransformerTTS,13,0,4,0,477
350,trixi,27,0,10,0,62
351,tslearn,45,0,33,0,1553
352,TTS,75,0,36,0,1644
353,urduhack,21,0,10,0,1427
354,vaex,120,23,35,0,692
355,video_analyst,104,0,53,0,464
356,videoflow,8,0,5,0,77
357,VideoSuperResolution,12,3,6,0,69
358,vilbert-multi-task,17,0,6,0,504
359,vision,14,0,7,0,88
360,Windows-Machine-Learning,18,0,6,0,482
361,xfer,45,0,19,0,158
362,yolov3,20,0,11,0,72
363,yolov5,21,0,12,0,76
364,zoltar,10,2,2,1,476
